1.000000d+02	2.915827d-08
1.603719d+02	3.759770d-08
2.571914d+02	4.635733d-08
4.124626d+02	5.584661d-08
6.614741d+02	6.000429d-08
1.060818d+03	5.611385d-08
1.701254d+03	4.393974d-08
2.728333d+03	3.375723d-08
4.375479d+03	2.691061d-08
7.017038d+03	2.178518d-08
1.125336d+04	1.738320d-08
1.804722d+04	1.462828d-08
2.894266d+04	1.257314d-08
4.641589d+04	1.136232d-08
7.443803d+04	1.203566d-08
1.193777d+05	1.374628d-08
1.914482d+05	1.891002d-08
3.070291d+05	2.555747d-08
4.923883d+05	3.735108d-08
7.896523d+05	5.563696d-08
1.266380d+06	7.974063d-08
2.030918d+06	1.122385d-07
3.257021d+06	1.518008d-07
5.223345d+06	1.879854d-07
8.376776d+06	2.007879d-07
1.343399d+07	1.731683d-07
2.154435d+07	1.170105d-07
3.455107d+07	6.301689d-08
5.541020d+07	2.923604d-08
8.886238d+07	1.220288d-08
1.425103d+08	4.685400d-09
2.285464d+08	1.613420d-09
3.665241d+08	5.082023d-10
5.878016d+08	1.362399d-10
9.426685d+08	2.730921d-11
1.511775d+09	5.786514d-12
2.424462d+09	1.130065d-12
3.888155d+09	2.254685d-13
6.235507d+09	2.490489d-14
1.000000d+10	2.265813d-15
