  0.5153221E-06  0.1000000E-04
  0.5782012E-06  0.1122019E-04
  0.6487520E-06  0.1258925E-04
  0.7279120E-06  0.1412538E-04
  0.8167301E-06  0.1584893E-04
  0.9163867E-06  0.1778279E-04
  0.1028203E-05  0.1995263E-04
  0.1153662E-05  0.2238721E-04
  0.1294431E-05  0.2511887E-04
  0.1452374E-05  0.2818382E-04
  0.1629592E-05  0.3162278E-04
  0.1828433E-05  0.3548135E-04
  0.2051534E-05  0.3981071E-04
  0.2301860E-05  0.4466837E-04
  0.2582728E-05  0.5011870E-04
  0.2897869E-05  0.5623413E-04
  0.3251464E-05  0.6309577E-04
  0.3648201E-05  0.7079457E-04
  0.4093350E-05  0.7943284E-04
  0.4592811E-05  0.8912505E-04
  0.5153221E-05  0.1000000E-03
  0.5782009E-05  0.1122018E-03
  0.6487520E-05  0.1258925E-03
  0.7279120E-05  0.1412538E-03
  0.8167306E-05  0.1584893E-03
  0.9163867E-05  0.1778279E-03
  0.1028203E-04  0.1995262E-03
  0.1153662E-04  0.2238721E-03
  0.1294431E-04  0.2511887E-03
  0.1452375E-04  0.2818383E-03
  0.1629591E-04  0.3162278E-03
  0.1828432E-04  0.3548134E-03
  0.2051534E-04  0.3981071E-03
  0.2301860E-04  0.4466837E-03
  0.2582729E-04  0.5011873E-03
  0.2897869E-04  0.5623413E-03
  0.3251462E-04  0.6309572E-03
  0.3648201E-04  0.7079456E-03
  0.4093350E-04  0.7943284E-03
  0.4592814E-04  0.8912510E-03
  0.5153221E-04  0.1000000E-02
  0.5782009E-04  0.1122018E-02
  0.6487520E-04  0.1258925E-02
  0.7279120E-04  0.1412538E-02
  0.8167306E-04  0.1584893E-02
  0.9163867E-04  0.1778279E-02
  0.1028203E-03  0.1995262E-02
  0.1153662E-03  0.2238721E-02
  0.1294431E-03  0.2511887E-02
  0.1452375E-03  0.2818383E-02
  0.1629592E-03  0.3162278E-02
  0.1828432E-03  0.3548133E-02
  0.2051534E-03  0.3981071E-02
  0.2301860E-03  0.4466837E-02
  0.2582729E-03  0.5011873E-02
  0.2897869E-03  0.5623413E-02
  0.3251462E-03  0.6309573E-02
  0.3648201E-03  0.7079456E-02
  0.4093350E-03  0.7943284E-02
  0.4592814E-03  0.8912510E-02
  0.5153221E-03  0.1000000E-01
  0.5782009E-03  0.1122018E-01
  0.6487520E-03  0.1258925E-01
  0.7279121E-03  0.1412538E-01
  0.8167306E-03  0.1584893E-01
  0.9163868E-03  0.1778279E-01
  0.1028203E-02  0.1995262E-01
  0.1153662E-02  0.2238721E-01
  0.1294431E-02  0.2511887E-01
  0.1452375E-02  0.2818383E-01
  0.1629592E-02  0.3162277E-01
  0.1828432E-02  0.3548133E-01
  0.2051534E-02  0.3981071E-01
  0.2301860E-02  0.4466837E-01
  0.2582729E-02  0.5011873E-01
  0.2897869E-02  0.5623413E-01
  0.3251462E-02  0.6309573E-01
  0.3648201E-02  0.7079456E-01
  0.4093350E-02  0.7943284E-01
  0.4592814E-02  0.8912510E-01
  0.5153222E-02  0.1000000E+00
  0.5782012E-02  0.1122019E+00
  0.6487520E-02  0.1258925E+00
  0.7279120E-02  0.1412538E+00
  0.8167301E-02  0.1584892E+00
  0.9163867E-02  0.1778279E+00
  0.1028203E-01  0.1995263E+00
  0.1153662E-01  0.2238721E+00
  0.1294431E-01  0.2511887E+00
  0.1452375E-01  0.2818382E+00
  0.1629592E-01  0.3162278E+00
  0.1828433E-01  0.3548135E+00
  0.2051534E-01  0.3981071E+00
  0.2301860E-01  0.4466837E+00
  0.2582728E-01  0.5011870E+00
  0.2897869E-01  0.5623413E+00
  0.3251464E-01  0.6309576E+00
  0.3648201E-01  0.7079456E+00
  0.4093350E-01  0.7943284E+00
  0.4592811E-01  0.8912506E+00
  0.5153221E-01  0.1000000E+01
  0.5782012E-01  0.1122019E+01
  0.6487519E-01  0.1258925E+01
  0.7279120E-01  0.1412538E+01
  0.8167303E-01  0.1584893E+01
  0.9163867E-01  0.1778279E+01
  0.1028203E+00  0.1995263E+01
  0.1153662E+00  0.2238721E+01
  0.1294431E+00  0.2511887E+01
  0.1452374E+00  0.2818382E+01
  0.1629592E+00  0.3162278E+01
  0.1828433E+00  0.3548136E+01
  0.2051534E+00  0.3981071E+01
  0.2301860E+00  0.4466837E+01
  0.2582727E+00  0.5011870E+01
  0.2897869E+00  0.5623413E+01
  0.3251464E+00  0.6309576E+01
  0.3648200E+00  0.7079456E+01
  0.4093350E+00  0.7943284E+01
  0.4592811E+00  0.8912505E+01
  0.5153221E+00  0.1000000E+02
  0.5782012E+00  0.1122019E+02
  0.6487520E+00  0.1258925E+02
  0.7279120E+00  0.1412538E+02
  0.8167302E+00  0.1584892E+02
  0.9163867E+00  0.1778279E+02
  0.1028203E+01  0.1995263E+02
  0.1153662E+01  0.2238721E+02
  0.1294431E+01  0.2511887E+02
  0.1452374E+01  0.2818382E+02
  0.1629592E+01  0.3162278E+02
  0.1828433E+01  0.3548135E+02
  0.2051534E+01  0.3981071E+02
  0.2301860E+01  0.4466837E+02
  0.2582727E+01  0.5011870E+02
  0.2897869E+01  0.5623413E+02
  0.3251464E+01  0.6309576E+02
  0.3648200E+01  0.7079456E+02
  0.4093350E+01  0.7943284E+02
  0.4592811E+01  0.8912505E+02
  0.5153221E+01  0.1000000E+03
