           2           1   9.4795710684413083E-013   8.7422772066743384E-013   6.9762458378076850E-013   4.1689206245893024E-013   1.9670743729930628E-013   1.2379394574533541E-013   1.3984580106757238E-013   3.4806195855300543E-013   2.2259884626984589E-012   3.9273429280332840E-011   1.8094806967696770E-009   1.6146443746496925E-007   1.5051899791227921E-005   6.3297805841095183E-004   5.2926402902648863E-003   5.2926402941958261E-003   6.3297805841095183E-004   1.5051899834461196E-005   1.6146443796729719E-007   1.8094807019099212E-009   3.9273429280332840E-011   2.2259884662189695E-012   3.4806195887125504E-013   1.3984580106757236E-013   1.2379394572791524E-013   1.9670743719705029E-013   4.1689206246516217E-013   6.9762458451979420E-013   8.7422771996371236E-013   9.4795710833000328E-013
           3           1   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013   3.8453849206577938E-013
           3           2   8.8781301122227217E-013   8.6374762079949523E-013   7.8322779794176171E-013   5.8857211029899840E-013   3.8314745775000468E-013   3.6919258856232997E-013   8.4457102069592531E-013   6.3327702046891088E-012   2.0770912370820093E-010   3.8134057177313732E-008   3.9039960407103512E-005  0.13224144298916513        485.19916368093658        421589.51058249938        19687611.603301015        19687611.550374646        421589.51058249938        485.19915863543997       0.13224144149999650        3.9039960407103512E-005   3.8134056864938695E-008   2.0770912250498660E-010   6.3327701817145647E-012   8.4457101914381157E-013   3.6919258856232987E-013   3.8314745792257726E-013   5.8857211062332428E-013   7.8322779791679937E-013   8.6374762050021610E-013   8.8781301077699718E-013
           4           1   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015   6.5717074452751698E-015
           4           2   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014   2.9510507882465685E-014
           4           3   4.3129300616101194E-013   5.2626934312350041E-013   7.1864307404167745E-013   8.7495853555049908E-013   7.2395199825739006E-013   5.4814348087485018E-013   6.8994195116970740E-013   1.9500780808504168E-012   1.4943014444126878E-011   3.3878337162526986E-010   2.1683194305888726E-008   2.8437661692672268E-006   3.9111750920857701E-004   2.2665518777555984E-002  0.22737838078917452       0.22737838005574645        2.2665518777555984E-002   3.9111750920857701E-004   2.8437661308436922E-006   2.1683194305888726E-008   3.3878337162526986E-010   1.4943014341054451E-011   1.9500780808504168E-012   6.8994195116970740E-013   5.4814348100776403E-013   7.2395199826014685E-013   8.7495853592454416E-013   7.1864307296972680E-013   5.2626934314457817E-013   4.3129300538828595E-013
           5           1   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018   8.5574606653711974E-018
           5           2   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017   4.7665176081557230E-017
           5           3   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015   1.3457248489155667E-015
           5           4   1.3697428910818638E-013   1.8099851008295774E-013   2.9824790648259625E-013   5.3952129886699627E-013   8.3389884703212226E-013   8.9250617446642086E-013   7.1532996227593525E-013   6.4662227482422041E-013   8.3234130110760151E-013   1.6461349122463720E-012   4.8415358557072441E-012   1.8372455452565285E-011   7.1975583854916013E-011   2.2264264685034897E-010   4.2298336627389104E-010   4.2298336589406279E-010   2.2264264685034897E-010   7.1975583854916013E-011   1.8372455383985469E-011   4.8415358557072441E-012   1.6461349122463720E-012   8.3234130007589827E-013   6.4662227482423152E-013   7.1532996228371188E-013   8.9250617460733398E-013   8.3389884727959830E-013   5.3952129914886573E-013   2.9824790860119543E-013   1.8099851025613141E-013   1.3697429382599212E-013
