           0           0 -0.78022729002859381      -0.69809810161329011      -0.61596891319798652      -0.53383972478268282      -0.45171053633409558      -0.36958134788550823      -0.28745215950348824      -0.20532297105490097      -0.12319378263959729       -4.1064594191010002E-002   4.1064594224293656E-002  0.12319378260631364       0.20532297105490097       0.28745215950348824       0.36958134788550823       0.45171053633409558       0.53383972478268282       0.61596891323127012       0.69809810161329011       0.78022729006187752     
           2           1   9.2700009775181747E-004   5.5713022356613361E-003   2.7268805937429103E-002  0.10708482178974046       0.32548992838760499       0.72421977194359166        1.1451417995238824        1.3787471849425876        1.4519984835686897        1.4685353754175126        1.4685353754175126        1.4519984835686897        1.3787471849425876        1.1451417995238824       0.72421977194359166       0.32548992838760499       0.10708482178974046        2.7268805937429103E-002   5.5713022356613361E-003   9.2700009775181747E-004
           3           1                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN
           3           2   1.5236132344995424E-004   9.1643130247388935E-004   4.5024331110202721E-003   1.7934830809933411E-002   5.6876948306376969E-002  0.13928357279612122       0.25682891050722867       0.36323264600148764       0.42506522198776503       0.44888404191075659       0.44888404191075659       0.42506522198776503       0.36323264600148764       0.25682891050722867       0.13928357279612122        5.6876948306376969E-002   1.7934830809933411E-002   4.5024331110202721E-003   9.1643130247388935E-004   1.5236132344995424E-004
           4           1                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN
           4           2                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN
           4           3   9.9020380888780220E-006   5.9602986483103060E-005   2.9384241625657982E-004   1.1859377016614995E-003   3.9138502670067882E-003   1.0539938072443937E-002   2.3110127845875499E-002   4.1256491676366337E-002   6.0242147050709481E-002   7.2548697191312989E-002   7.2548697191312989E-002   6.0242147050709481E-002   4.1256491676366337E-002   2.3110127845875499E-002   1.0539938072443937E-002   3.9138502670067882E-003   1.1859377016614995E-003   2.9384241625657982E-004   5.9602986483103060E-005   9.9020380888780220E-006
           5           1                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN
           5           2                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN
           5           3                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN
           5           4   1.3207766688917762E-006   7.9504798494372117E-006   3.9204501020211531E-005   1.5836157165755640E-004   5.2398167216815921E-004   1.4200414958975682E-003   3.1518694268161721E-003   5.7294932457705892E-003   8.5313705842102721E-003   1.0409096438297395E-002   1.0409096438297395E-002   8.5313705842102721E-003   5.7294932457705892E-003   3.1518694268161721E-003   1.4200414958975682E-003   5.2398167216815921E-004   1.5836157165755640E-004   3.9204501020211531E-005   7.9504798494372117E-006   1.3207766688917762E-006
           6           1                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN                       NaN
